instrument,anomaly_type,count
X_25123_23000_PE,Spread widening,586
X_25123_23000_PE,IV spike,255
X_25123_23000_PE,Mispricing,237
X_25123_23000_PE,Gamma spike,158
X_25123_23050_CE,Price jump,943
X_25123_23050_CE,Spread widening,532
X_25123_23050_CE,Mispricing,319
X_25123_23050_CE,Gamma spike,211
X_25123_23050_CE,IV spike,134
X_25123_23050_PE,Price jump,815
X_25123_23050_PE,Spread widening,414
X_25123_23050_PE,IV spike,333
X_25123_23050_PE,Mispricing,207
X_25123_23050_PE,Gamma spike,192
X_25123_23100_CE,Price jump,889
X_25123_23100_CE,Spread widening,462
X_25123_23100_CE,Mispricing,321
X_25123_23100_CE,Gamma spike,277
X_25123_23100_CE,IV spike,147
X_25123_23100_PE,Price jump,1019
X_25123_23100_PE,Spread widening,497
X_25123_23100_PE,IV spike,251
X_25123_23100_PE,Mispricing,212
X_25123_23100_PE,Gamma spike,157
X_25123_23150_CE,Price jump,932
X_25123_23150_CE,Spread widening,424
X_25123_23150_CE,Mispricing,335
X_25123_23150_CE,Gamma spike,243
X_25123_23150_CE,IV spike,130
X_25123_23150_PE,Price jump,934
X_25123_23150_PE,Spread widening,474
X_25123_23150_PE,IV spike,299
X_25123_23150_PE,Gamma spike,175
X_25123_23150_PE,Mispricing,166
X_25123_23200_CE,Price jump,997
X_25123_23200_CE,Spread widening,512
X_25123_23200_CE,Mispricing,296
X_25123_23200_CE,Gamma spike,240
X_25123_23200_CE,IV spike,134
X_25123_23200_PE,Price jump,1085
X_25123_23200_PE,Spread widening,535
X_25123_23200_PE,IV spike,225
X_25123_23200_PE,Mispricing,169
X_25123_23200_PE,Gamma spike,162
X_25123_23250_CE,Price jump,1042
X_25123_23250_CE,Spread widening,495
X_25123_23250_CE,Mispricing,305
X_25123_23250_CE,Gamma spike,300
X_25123_23250_CE,IV spike,113
X_25123_23250_PE,Price jump,921
X_25123_23250_PE,Spread widening,447
X_25123_23250_PE,IV spike,307
X_25123_23250_PE,Gamma spike,173
X_25123_23250_PE,Mispricing,150
X_25123_23300_CE,Price jump,993
X_25123_23300_CE,Spread widening,406
X_25123_23300_CE,Mispricing,317
X_25123_23300_CE,Gamma spike,244
X_25123_23300_CE,IV spike,126
X_25123_23300_PE,Price jump,988
X_25123_23300_PE,Spread widening,484
X_25123_23300_PE,IV spike,268
X_25123_23300_PE,Gamma spike,216
X_25123_23300_PE,Mispricing,153
X_25123_23350_CE,Price jump,947
X_25123_23350_CE,Spread widening,466
X_25123_23350_CE,Mispricing,309
X_25123_23350_CE,Gamma spike,295
X_25123_23350_CE,IV spike,148
X_25123_23350_PE,Price jump,1025
X_25123_23350_PE,Spread widening,530
X_25123_23350_PE,IV spike,299
X_25123_23350_PE,Mispricing,162
X_25123_23350_PE,Gamma spike,119
X_25123_23400_CE,Price jump,970
X_25123_23400_CE,Spread widening,496
X_25123_23400_CE,Mispricing,317
X_25123_23400_CE,Gamma spike,278
X_25123_23400_CE,IV spike,146
X_25123_23400_PE,Price jump,1042
X_25123_23400_PE,Spread widening,529
X_25123_23400_PE,IV spike,245
X_25123_23400_PE,Mispricing,167
X_25123_23400_PE,Gamma spike,131
X_25123_23450_CE,Price jump,946
X_25123_23450_CE,Spread widening,503
X_25123_23450_CE,Mispricing,304
X_25123_23450_CE,Gamma spike,281
X_25123_23450_CE,IV spike,142
X_25123_23450_PE,Price jump,957
X_25123_23450_PE,Spread widening,533
X_25123_23450_PE,IV spike,260
X_25123_23450_PE,Mispricing,167
X_25123_23450_PE,Gamma spike,152
X_25123_23500_CE,Price jump,1034
X_25123_23500_CE,Spread widening,415
X_25123_23500_CE,Gamma spike,327
X_25123_23500_CE,Mispricing,286
X_25123_23500_CE,IV spike,156
X_25123_23500_PE,Price jump,966
X_25123_23500_PE,Spread widening,471
X_25123_23500_PE,IV spike,262
X_25123_23500_PE,Mispricing,147
X_25123_23500_PE,Gamma spike,133
X_25123_23550_CE,Price jump,1053
X_25123_23550_CE,Spread widening,553
X_25123_23550_CE,Mispricing,326
